"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code..CPC.","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Note"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1999,1999,"ha",659868,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1999,1999,"t",561031,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2000,2000,"ha",736200,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2000,2000,"t",598200,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2001,2001,"ha",691690,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2001,2001,"t",691690,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2002,2002,"ha",655380,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2002,2002,"t",635740,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2003,2003,"ha",449590,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2003,2003,"t",198870,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2004,2004,"ha",697220,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2004,2004,"t",648540,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2005,2005,"ha",737080,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2005,2005,"t",729740,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2006,2006,"ha",715884,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2006,2006,"t",711631,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2007,2007,"ha",817946,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2007,2007,"t",971198,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2008,2008,"ha",566760,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2008,2008,"t",551270,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2009,2009,"ha",874219,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2009,2009,"t",709310,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2010,2010,"ha",618370,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2010,2010,"t",798540,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2011,2011,"ha",811164,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2011,2011,"t",806575,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2012,2012,"ha",839423,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2012,2012,"t",838717,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2013,2013,"ha",711388,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2013,2013,"t",832084,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2014,2014,"ha",851478,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2014,2014,"t",883195,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2015,2015,"ha",755836,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2015,2015,"t",676772,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2016,2016,"ha",729995,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2016,2016,"t",739807.99,"I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2017,2017,"ha",753708,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2017,2017,"t",755041,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2018,2018,"ha",609567,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2018,2018,"t",672235,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2019,2019,"ha",646868,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2019,2019,"t",731877,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2020,2020,"ha",695088,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2020,2020,"t",750000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2021,2021,"ha",747915,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2021,2021,"t",807000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2022,2022,"ha",711770,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2022,2022,"t",768000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2023,2023,"ha",683967,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2023,2023,"t",737819,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",2024,2024,"ha",750000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",2024,2024,"t",8e+05,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1961,1961,"ha",67000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1961,1961,"t",40000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1962,1962,"ha",68000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1962,1962,"t",41000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1963,1963,"ha",69000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1963,1963,"t",41000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1964,1964,"ha",70000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1964,1964,"t",43000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1965,1965,"ha",70000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1965,1965,"t",44000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1966,1966,"ha",72000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1966,1966,"t",47000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1967,1967,"ha",73000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1967,1967,"t",48000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1968,1968,"ha",73000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1968,1968,"t",48000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1969,1969,"ha",75000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1969,1969,"t",50000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1970,1970,"ha",75000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1970,1970,"t",45000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1971,1971,"ha",77497,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1971,1971,"t",52535,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1972,1972,"ha",75000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1972,1972,"t",47264,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1973,1973,"ha",70000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1973,1973,"t",40436,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1974,1974,"ha",60000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1974,1974,"t",23140,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1975,1975,"ha",1e+05,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1975,1975,"t",61058,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1976,1976,"ha",65000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1976,1976,"t",32380,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1977,1977,"ha",65000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1977,1977,"t",33730,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1978,1978,"ha",65000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1978,1978,"t",35180,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1979,1979,"ha",40000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1979,1979,"t",20000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1980,1980,"ha",30000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1980,1980,"t",15000,"E","Estimated value",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1981,1981,"ha",21500,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1981,1981,"t",13950,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1982,1982,"ha",21450,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1982,1982,"t",13985,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1983,1983,"ha",16570,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1983,1983,"t",12518,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1984,1984,"ha",21780,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5510,"Production",114,"Sorghum",1984,1984,"t",14966,"A","Official figure",""
"QCL","Crops and livestock products",251,"Zambia",5312,"Area harvested",114,"Sorghum",1985,1985,"ha",24811,"A","Official figure",""
