"family","species","month","year","x","y"
"Elephantidae","Loxodonta africana",10,2024,34.853975,-2.290372
"Elephantidae","Loxodonta africana",9,2024,34.783946,-2.412498
"Elephantidae","Loxodonta africana",9,2024,34.73725,-2.521266
"Felidae","Panthera leo",9,2024,35.005565,-2.483574
"Bovidae","Syncerus caffer",7,2017,34.990533,-2.505052
"Elephantidae","Loxodonta africana",2,2022,35.780227,-3.341358
"Elephantidae","Loxodonta africana",9,2024,34.743792,-2.53775
"Bovidae","Syncerus caffer",9,2024,34.77285,-2.420482
"Felidae","Panthera leo",7,2017,34.84662,-2.482532
"Elephantidae","Loxodonta africana",9,2024,34.795813,-2.483885
"Elephantidae","Loxodonta africana",9,2024,34.768925,-2.580445
"Elephantidae","Loxodonta africana",9,2024,34.772841,-2.400803
"Felidae","Panthera leo",10,2024,34.832509,-2.33822
"Felidae","Panthera pardus",5,2011,34.82933,-2.38578
"Felidae","Panthera leo",3,2018,34.919622,-6.291187
"Bovidae","Syncerus caffer",5,2011,35.743006,-3.459294
"Elephantidae","Loxodonta africana",10,2024,34.86517,-2.293185
"Elephantidae","Loxodonta africana",9,2024,34.691763,-2.598105
"Felidae","Panthera leo",7,2017,34.808232,-2.543528
"Elephantidae","Loxodonta africana",9,2024,34.60335,-2.585483
"Elephantidae","Loxodonta africana",10,2024,34.854414,-2.23327
"Felidae","Panthera leo",7,2017,34.895659,-2.507114
"Felidae","Panthera pardus",10,2024,35.279951,-8.656023
"Felidae","Panthera leo",5,2011,34.603096,-2.232826
"Bovidae","Syncerus caffer",9,2024,34.6505,-2.492083
"Felidae","Panthera leo",5,2011,34.806334,-2.308369
"Rhinocerotidae","Diceros bicornis",5,2011,35.554655,-3.125483
"Elephantidae","Loxodonta africana",9,2024,34.608255,-2.456401
"Elephantidae","Loxodonta africana",9,2024,34.738171,-2.438975
"Elephantidae","Loxodonta africana",9,2024,34.736878,-2.583124
"Elephantidae","Loxodonta africana",9,2024,34.695669,-2.596561
"Elephantidae","Loxodonta africana",9,2024,34.75701,-2.590641
"Elephantidae","Loxodonta africana",10,2024,34.865306,-2.326027
"Elephantidae","Loxodonta africana",7,2017,34.829438,-2.536949
"Elephantidae","Loxodonta africana",9,2024,34.687702,-2.583493
"Felidae","Panthera leo",5,2011,35.552565,-3.07095
"Bovidae","Syncerus caffer",12,2007,34.903188,-2.258989
"Elephantidae","Loxodonta africana",9,2024,34.656084,-2.464771
"Felidae","Panthera leo",12,2013,35.564086,-3.046994
"Elephantidae","Loxodonta africana",5,2011,34.889811,-2.347354
"Bovidae","Syncerus caffer",9,2024,34.740467,-2.208991
"Bovidae","Syncerus caffer",5,2011,35.417718,-3.136769
"Elephantidae","Loxodonta africana",9,2024,34.824645,-2.533112
"Felidae","Panthera leo",7,2017,34.966659,-2.465484
"Elephantidae","Loxodonta africana",9,2024,34.789423,-2.549783
"Elephantidae","Loxodonta africana",7,2017,34.910018,-2.502995
"Bovidae","Syncerus caffer",1,2016,38.03571,-7.627654
"Felidae","Panthera pardus",7,2017,34.892573,-2.553271
"Elephantidae","Loxodonta africana",9,2024,34.740479,-2.551635
"Elephantidae","Loxodonta africana",11,2024,36.035299,-3.926572
"Felidae","Panthera leo",10,2024,37.919956,-3.897686
"Felidae","Panthera leo",11,2024,34.709203,-2.42524
"Felidae","Panthera leo",11,2024,34.97556,-2.763277
"Felidae","Panthera leo",11,2024,34.736318,-2.597635
"Bovidae","Syncerus caffer",6,2022,35.281934,-2.296996
"Felidae","Panthera leo",6,2022,35.01192,-2.261834
"Felidae","Panthera leo",7,2024,35.024246,-2.606807
"Felidae","Panthera pardus",11,2024,34.611271,-2.479406
"Felidae","Panthera pardus",6,2022,35.006188,-2.395074
"Felidae","Panthera leo",7,2021,34.804743,-7.66679
"Felidae","Panthera leo",9,2024,37.080971,-7.338555
"Bovidae","Syncerus caffer",7,2021,38.164525,-7.774944
"Felidae","Panthera leo",11,2024,35.55099,-3.387577
"Elephantidae","Loxodonta africana",7,2021,34.805008,-7.608324
"Felidae","Panthera leo",11,2024,35.590231,-3.091408
"Elephantidae","Loxodonta africana",7,2021,34.85223,-7.466797
"Elephantidae","Loxodonta africana",6,2022,34.74782,-2.582193
"Bovidae","Syncerus caffer",11,2024,36.153717,-4.02061
"Rhinocerotidae","Diceros bicornis",11,2024,35.513653,-3.080782
"Felidae","Panthera leo",11,2024,35.413217,-3.378151
"Felidae","Panthera leo",11,2024,34.694727,-2.569156
"Elephantidae","Loxodonta africana",7,2021,34.804066,-7.777652
"Felidae","Panthera leo",11,2024,36.156305,-3.906757
"Bovidae","Syncerus caffer",11,2024,36.118483,-3.622574
"Felidae","Panthera leo",7,2018,34.867687,-2.44877
"Felidae","Panthera leo",9,2024,36.149579,-4.044263
"Bovidae","Syncerus caffer",10,2024,36.191945,-3.998185
"Felidae","Panthera leo",7,2018,35.730147,-3.02347
"Felidae","Panthera leo",7,2018,36.055416,-3.998617
"Felidae","Panthera pardus",11,2024,34.926635,-7.627426
"Elephantidae","Loxodonta africana",9,2024,36.067499,-4.184527
"Felidae","Panthera leo",9,2024,35.086808,-2.248876
"Felidae","Panthera pardus",9,2024,34.914027,-2.25502
"Felidae","Panthera leo",9,2024,35.043482,-2.573149
"Bovidae","Syncerus caffer",10,2024,38.105452,-7.670372
"Bovidae","Syncerus caffer",9,2024,35.540908,-3.198522
"Felidae","Panthera leo",7,2018,34.650746,-2.579016
"Bovidae","Syncerus caffer",9,2024,35.586485,-3.131558
"Felidae","Panthera pardus",2,2020,34.985209,-2.378239
"Felidae","Panthera leo",2,2020,34.889878,-2.24253
"Elephantidae","Loxodonta africana",10,2024,34.894167,-2.518883
"Felidae","Panthera leo",7,2018,34.872201,-2.560839
"Felidae","Panthera leo",9,2024,34.969639,-2.295642
"Elephantidae","Loxodonta africana",7,2018,35.881054,-3.656225
"Elephantidae","Loxodonta africana",9,2024,34.998437,-2.357611
"Felidae","Panthera pardus",9,2024,35.00399,-2.776977
"Elephantidae","Loxodonta africana",3,2020,36.071564,-4.097517
"Elephantidae","Loxodonta africana",2,2020,34.994423,-2.211939
"Felidae","Panthera leo",10,2024,38.03701,-7.700461
"Felidae","Panthera leo",7,2018,34.665152,-2.57961
"Felidae","Panthera pardus",10,2024,34.817138,-1.519459
"Felidae","Panthera leo",7,2018,34.916212,-2.407795
"Elephantidae","Loxodonta africana",9,2024,36.075259,-4.131299
"Bovidae","Syncerus caffer",10,2024,38.111683,-7.7253
"Felidae","Panthera leo",9,2024,34.924036,-2.238048
"Felidae","Panthera pardus",9,2024,34.919672,-2.367383
"Felidae","Panthera leo",9,2024,35.167531,-1.91866
"Elephantidae","Loxodonta africana",9,2024,34.96324,-2.511188
"Felidae","Panthera leo",9,2024,36.064944,-4.118393
"Felidae","Panthera leo",9,2024,34.986327,-2.530642
"Felidae","Panthera leo",9,2024,35.038042,-1.961571
"Felidae","Panthera leo",10,2024,38.014132,-7.752013
"Felidae","Panthera leo",10,2024,38.00451,-7.699832
